#responseid	Group	Age_Group	Gender
2	1	4	2
4	1	5	2
5	1	2	2
6	1	3	2
7	1	4	2
8	1	5	1
9	1	2	1
10	1	2	1
11	1	3	2
12	1	1	2
13	1	5	2
14	1	2	1
15	1	4	2
16	1	1	1
17	1	4	2
18	1	5	2
19	1	3	1
20	1	3	1
21	1	4	2
22	1	1	1
23	1	5	2
24	1	6	1
25	1	5	1
26	1	1	2
27	1	5	1
28	1	1	1
29	1	4	2
30	1	1	2
31	1	1	2
32	1	2	1
33	1	5	1
34	1	6	2
35	1	3	1
36	1	5	2
37	1	5	1
38	1	2	1
39	1	6	2
40	1	1	2
41	1	3	1
42	1	5	2
43	1	2	1
44	1	1	1
45	1	4	2
46	1	4	1
47	1	3	1
48	2	5	2
49	1	2	1
50	1	3	1
51	1	3	1
52	1	3	1
53	1	5	2
54	1	1	1
55	1	5	2
56	1	4	1
57	1	3	2
58	1	5	2
59	1	4	1
60	1	3	1
61	1	6	2
62	1	3	2
63	1	4	2
64	1	4	1
65	1	1	1
66	1	3	2
67	1	3	1
68	1	5	2
69	1	4	2
70	1	2	1
71	1	4	1
72	1	4	1
73	1	2	2
74	1	6	1
75	1	5	1
76	1	4	2
77	1	4	1
78	1	2	2
79	1	3	2
80	1	5	1
81	1	2	2
82	1	3	1
83	1	4	2
84	1	3	1
85	1	3	2
86	1	6	2
87	1	4	1
88	1	3	1
89	1	4	2
90	1	3	1
91	1	5	1
92	1	1	1
93	1	6	2
94	1	6	2
95	1	4	1
96	1	5	1
97	1	4	1
98	1	3	1
99	1	2	1
100	1	5	2
101	1	3	1
102	1	5	1
103	1	2	2
104	1	4	2
105	1	1	1
106	1	4	2
107	1	4	1
108	1	2	2
109	1	1	1
110	1	2	1
111	1	5	1
112	1	5	1
113	1	5	2
114	1	2	1
115	1	5	1
116	1	1	2
117	1	4	2
118	1	5	2
119	1	4	2
120	1	5	2
121	1	2	1
122	1	3	2
123	1	1	1
124	1	4	2
125	1	5	1
126	1	1	2
127	1	1	1
128	1	5	2
129	1	3	1
130	1	5	2
131	1	2	2
132	1	5	1
133	1	2	1
134	1	5	2
135	1	2	2
136	1	5	2
137	1	6	1
138	1	3	1
139	1	5	2
140	1	2	2
141	1	5	2
142	1	5	2
143	1	1	2
144	1	2	1
145	1	4	2
146	1	5	1
147	1	5	2
148	1	4	1
149	1	1	1
150	1	3	2
151	1	2	2
152	1	1	2
153	1	2	2
154	1	1	2
155	1	5	1
156	1	3	2
157	1	3	1
158	1	2	1
159	1	2	1
160	1	2	2
161	1	4	2
162	1	3	2
163	1	1	1
164	1	1	1
165	1	4	1
166	1	4	2
167	1	3	1
168	1	1	1
169	1	2	2
170	1	4	1
171	1	2	2
172	1	3	1
173	1	4	1
174	1	4	1
175	1	3	2
176	1	1	1
177	1	3	1
178	1	3	1
179	1	2	2
180	1	1	2
181	1	2	1
182	1	1	2
183	1	5	1
184	1	2	2
185	1	5	1
186	1	3	2
187	1	4	2
188	1	3	1
189	1	4	2
190	1	3	1
191	1	5	2
192	1	3	1
193	1	6	2
194	1	4	2
195	1	4	1
196	1	3	2
197	1	1	2
198	1	2	1
199	1	4	2
200	1	3	1
201	1	3	1
202	1	5	1
203	1	5	1
204	1	5	1
205	1	4	2
206	1	3	1
207	1	3	1
208	1	1	2
209	1	4	2
210	1	1	2
211	1	3	2
212	1	3	2
213	1	1	2
214	1	3	1
215	1	3	2
216	1	5	2
217	1	1	2
218	1	3	1
219	1	2	1
220	1	2	2
221	1	4	2
222	1	3	2
223	1	4	2
224	1	4	1
225	1	3	1
226	1	4	1
227	1	1	2
228	1	2	2
229	1	2	1
230	1	2	1
231	1	3	1
232	1	3	2
233	1	5	1
234	1	3	1
235	1	4	2
236	1	4	1
237	1	1	1
238	1	6	2
239	1	4	2
240	1	5	2
241	1	5	2
242	1	5	2
243	1	2	2
244	1	5	2
245	1	6	1
246	1	5	2
247	1	2	2
248	1	2	1
249	1	3	1
250	1	3	1
251	1	5	1
252	1	5	1
253	1	3	2
254	1	1	2
255	1	4	2
256	1	1	1
257	1	2	1
258	1	3	2
259	1	3	2
260	1	3	1
261	1	4	2
262	1	5	1
263	1	2	1
264	1	2	2
265	1	2	1
266	1	1	2
267	1	2	2
268	1	4	1
269	1	4	2
270	1	3	2
271	1	6	1
272	1	1	2
273	1	5	1
274	1	5	1
275	1	4	2
276	1	5	1
277	1	3	2
278	1	5	2
279	1	5	2
280	1	3	2
281	1	5	2
282	1	1	2
283	1	5	1
284	1	3	2
285	1	3	1
286	1	4	1
287	1	3	1
288	1	6	2
289	1	5	2
290	1	4	2
291	1	2	2
292	1	3	1
293	1	4	1
294	1	3	2
295	1	4	2
296	1	2	2
297	1	5	1
298	1	4	2
299	1	2	2
300	1	5	2
301	1	4	2
302	1	4	2
303	1	5	2
304	1	5	1
305	1	1	2
306	1	4	1
307	1	3	2
308	1	5	1
309	1	4	2
310	1	4	1
311	2	5	2
312	1	3	2
313	1	5	2
314	1	1	2
315	1	5	1
316	1	1	1
317	1	2	1
318	1	4	2
319	1	5	2
320	1	5	2
321	1	1	1
322	1	3	2
323	1	3	1
324	1	1	1
325	1	3	2
326	1	5	2
327	1	5	1
328	1	2	1
329	1	1	1
330	1	3	2
331	1	3	1
332	1	3	1
333	1	4	1
334	1	4	1
335	1	3	1
336	1	5	1
337	1	5	2
338	1	1	1
339	1	5	2
340	1	3	1
341	1	2	1
342	1	2	2
343	1	5	1
344	1	4	1
345	1	1	1
346	1	3	2
347	1	6	2
348	1	5	1
349	1	3	1
350	1	1	2
351	1	2	2
352	1	1	2
353	1	2	2
354	1	3	2
355	1	6	2
356	1	5	1
357	1	2	2
358	1	3	1
359	1	3	2
360	1	4	2
361	1	2	2
362	1	3	2
363	1	5	2
364	1	4	2
365	1	3	1
366	1	2	1
367	1	2	2
368	1	5	2
369	1	3	1
370	1	5	1
371	1	1	2
372	1	3	2
373	1	5	1
374	1	1	1
375	1	4	1
376	1	6	2
377	1	5	2
378	1	1	2
379	1	1	1
380	1	4	2
381	1	5	2
382	1	2	1
383	1	1	2
384	1	5	1
385	1	3	2
386	1	4	2
387	1	4	2
388	1	4	2
389	1	1	1
390	1	1	2
391	1	4	1
392	1	2	1
393	1	4	1
394	2	3	1
395	1	3	2
396	1	5	2
397	1	4	2
398	1	6	1
399	1	3	2
400	1	4	2
401	1	3	1
402	1	2	2
403	1	5	2
404	1	5	2
405	1	5	2
406	1	1	1
407	1	3	1
408	1	6	1
409	1	4	2
410	1	2	2
411	1	1	2
412	1	3	1
413	1	5	2
414	1	3	2
415	1	5	1
416	1	2	2
417	1	4	2
418	1	4	1
419	1	2	1
420	1	5	1
421	1	5	2
422	1	5	1
423	1	3	1
424	1	2	2
425	1	1	1
426	1	5	2
427	1	2	2
428	1	1	2
429	1	3	1
430	1	2	1
431	1	5	2
432	1	1	1
433	1	3	2
434	1	3	2
435	1	3	1
436	1	1	2
437	1	2	1
438	1	5	1
439	1	4	2
440	1	2	2
441	1	4	2
442	1	1	2
443	1	4	2
444	1	1	1
445	1	4	1
446	1	5	1
447	1	2	2
448	1	4	1
449	1	2	2
450	1	3	2
451	1	5	1
452	1	5	1
453	1	2	2
454	1	3	1
455	1	3	2
456	1	3	1
457	1	1	2
458	1	2	2
459	1	4	2
460	1	2	2
461	1	5	1
462	1	2	1
463	1	1	2
464	1	2	2
465	1	3	2
466	1	3	2
467	1	1	2
468	1	2	1
469	1	4	1
470	1	3	2
471	1	3	2
472	1	5	1
473	1	1	2
474	1	3	1
475	1	4	1
476	1	5	1
477	1	5	2
478	1	4	1
479	1	3	2
480	1	2	2
481	1	5	2
482	1	3	2
483	1	2	1
484	1	2	2
485	1	3	2
486	1	5	1
487	1	2	2
488	1	1	1
489	1	1	2
490	1	3	2
491	1	1	2
492	2	4	1
493	2	2	1
494	2	4	1
496	2	5	1
497	2	2	1
498	2	2	1
501	2	3	1
502	2	2	1
507	2	3	1
509	2	3	1
511	2	4	1
512	2	3	1
513	2	2	1
516	2	3	1
518	2	2	1
520	2	2	1
522	2	3	1
523	2	5	1
524	2	3	1
525	2	4	1
527	2	1	1
530	2	1	1
532	2	4	1
533	2	5	1
536	2	2	1
538	2	5	1
539	2	1	1
552	2	4	1
554	2	3	1
557	2	3	1
559	2	2	1
561	2	3	1
563	2	2	1
564	2	5	1
566	2	5	1
567	2	5	1
569	2	5	1
571	2	1	1
574	2	3	1
575	2	1	1
580	2	3	1
581	2	3	1
582	2	3	1
583	2	3	1
584	2	5	1
586	2	3	1
587	2	5	1
588	2	2	1
591	2	2	1
592	2	2	1
594	2	1	1
595	2	3	1
596	2	3	1
597	2	6	1
599	2	3	1
600	2	4	1
601	2	1	1
602	2	2	1
603	2	5	1
606	2	3	1
607	2	3	1
608	2	3	1
611	2	5	1
613	2	5	1
615	2	5	1
619	2	5	1
620	2	3	1
622	2	5	1
624	2	5	1
625	2	2	1
626	2	3	1
629	2	6	1
630	2	4	1
632	2	3	1
633	2	2	1
634	2	1	1
635	2	2	1
636	2	2	1
638	2	5	1
639	2	4	1
640	2	1	1
643	2	5	1
646	2	3	1
648	2	5	1
650	2	2	1
651	2	1	1
653	2	3	1
655	2	3	1
657	2	1	1
658	2	4	1
659	2	4	1
661	2	2	1
662	2	4	1
663	2	6	1
664	2	5	1
667	2	5	1
669	2	3	1
672	2	2	1
674	2	1	1
676	2	3	1
678	2	5	1
679	2	1	1
681	2	4	1
683	2	3	1
686	2	3	1
687	2	2	1
690	2	4	1
691	2	3	1
694	2	3	1
696	2	4	1
697	2	3	1
698	2	5	1
699	2	4	1
701	2	3	1
704	2	5	1
705	2	1	1
706	2	4	1
707	2	2	1
708	2	5	1
715	2	2	1
716	2	4	1
718	2	4	1
719	2	2	1
723	2	3	1
725	2	4	1
726	2	1	1
727	2	3	1
731	2	5	1
732	2	5	1
733	2	1	1
736	2	5	1
739	2	5	1
740	2	4	1
741	2	4	1
743	2	4	1
744	2	3	1
746	2	4	1
748	2	3	1
749	2	1	1
757	2	4	1
758	2	3	1
760	2	5	1
761	2	2	1
763	2	6	1
768	2	3	1
769	2	4	1
772	2	5	1
775	2	3	1
777	2	2	1
779	2	1	1
780	2	5	1
782	2	5	1
786	2	5	1
788	2	1	1
790	2	4	1
791	2	5	1
792	2	3	1
793	2	2	1
794	2	4	1
798	2	5	1
803	2	2	1
804	2	1	1
807	2	5	1
808	2	6	1
815	2	5	1
816	2	4	1
818	2	3	1
821	2	6	1
822	2	1	1
824	2	2	1
825	2	5	1
826	2	2	1
829	2	6	1
830	2	2	1
831	2	5	1
833	2	5	1
834	2	2	1
837	2	3	1
844	2	5	1
845	2	5	1
846	2	4	1
847	2	1	1
848	2	2	1
850	2	3	1
853	2	4	1
855	2	4	1
859	2	2	1
860	2	5	1
863	2	6	1
866	2	4	1
867	2	5	1
868	2	3	1
869	2	4	1
870	2	5	1
872	2	5	1
874	2	4	1
875	2	2	1
877	2	1	1
878	2	3	1
879	2	2	1
880	2	3	1
881	2	1	1
885	2	5	1
886	2	1	1
891	2	2	1
894	2	5	1
895	2	6	1
896	2	2	1
900	2	3	1
905	2	4	1
908	2	2	1
910	2	2	1
911	2	3	1
913	2	2	1
915	2	5	1
916	2	3	1
917	2	6	1
921	2	3	1
923	2	4	1
924	2	2	1
927	2	4	1
928	2	5	1
930	2	3	1
933	2	1	1
935	2	4	1
938	2	2	1
939	2	4	1
940	2	1	1
942	2	5	1
944	2	3	1
948	2	2	1
950	1	4	1
951	2	5	1
952	2	4	2
955	2	5	2
956	2	1	2
957	2	3	2
959	2	1	2
960	2	2	2
963	2	4	2
965	2	4	2
967	2	4	2
969	2	5	2
972	2	2	2
973	2	2	2
978	2	2	2
981	2	4	2
986	2	1	2
987	2	5	2
989	2	5	2
991	2	5	2
992	2	6	2
993	2	4	2
995	2	3	2
997	2	5	2
999	2	2	2
1000	2	2	2
1002	2	4	2
1004	2	1	2
1005	2	1	2
1007	2	2	2
1009	2	1	2
1010	2	1	2
1014	2	2	2
1015	2	4	2
1016	2	2	2
1018	2	2	2
1020	2	1	2
1021	2	4	2
1022	2	4	2
1025	2	3	2
1028	2	3	2
1029	2	5	2
1031	2	1	2
1032	2	6	2
1034	2	4	2
1036	2	1	2
1038	2	2	2
1043	2	4	2
1046	2	3	2
1047	2	2	2
1050	2	1	2
1051	2	3	2
1052	2	2	2
1054	2	4	2
1055	2	4	2
1056	2	2	2
1059	2	5	2
1060	2	2	2
1062	2	2	2
1063	2	4	2
1064	2	2	2
1066	2	1	2
1067	2	3	2
1068	2	2	2
1069	2	4	2
1074	2	4	2
1075	2	5	2
1077	2	4	2
1078	2	1	2
1079	2	5	2
1082	2	2	2
1085	2	4	2
1087	2	4	2
1090	2	2	2
1092	2	3	2
1093	2	3	2
1094	2	1	2
1095	2	2	2
1096	2	1	2
1100	2	5	2
1101	2	4	2
1102	2	1	2
1104	2	3	2
1106	2	2	2
1107	2	4	2
1108	2	5	2
1110	2	2	2
1114	2	2	2
1118	2	3	2
1119	2	3	2
1120	2	5	2
1123	2	5	2
1131	2	1	2
1132	2	6	2
1133	2	2	2
1134	2	4	2
1135	2	3	2
1139	2	5	2
1140	2	2	2
1141	2	3	2
1143	2	1	2
1145	2	1	2
1147	2	5	2
1148	2	5	2
1149	2	4	2
1151	2	1	2
1152	2	3	2
1153	2	5	2
1154	2	5	2
1155	2	2	2
1157	2	4	2
1158	2	3	2
1159	2	5	2
1160	2	1	2
1161	2	4	2
1163	2	3	2
1164	2	4	2
1165	2	2	2
1167	2	3	2
1169	2	4	2
1170	2	1	2
1171	2	4	2
1174	2	1	2
1179	2	5	2
1180	2	1	2
1184	2	3	2
1186	2	1	2
1189	2	4	2
1190	2	6	2
1192	2	5	2
1193	2	1	2
1197	2	1	2
1199	2	5	2
1201	2	5	2
1203	2	5	2
1204	2	1	2
1206	2	4	2
1210	2	1	2
1212	2	5	2
1213	2	3	2
1214	2	2	2
1217	2	2	2
1220	2	5	2
1223	2	1	2
1226	2	5	2
1231	2	1	2
1235	2	1	2
1242	2	1	2
1243	2	5	2
1244	2	5	2
1245	2	3	2
1246	2	3	2
1247	2	5	2
1248	2	2	2
1249	2	4	2
1251	2	5	2
1252	2	3	2
1253	2	3	2
1254	2	5	2
1256	2	1	2
1257	2	2	2
1260	2	2	2
1261	2	1	2
1262	2	3	2
1263	2	3	2
1265	2	2	2
1266	2	4	2
1267	2	1	2
1269	2	4	2
1270	2	4	2
1272	2	3	2
1273	2	2	2
1276	2	4	2
1277	2	2	2
1278	2	6	2
1280	2	3	2
1281	2	4	2
1283	2	2	2
1284	2	5	2
1285	2	2	2
1288	2	4	2
1290	2	3	2
1296	2	3	2
1298	2	5	2
1299	2	3	2
1301	2	5	2
1302	2	3	2
1308	2	3	2
1309	2	1	2
1313	2	4	2
1314	2	5	2
1315	2	3	2
1316	2	5	2
1317	2	5	2
1320	2	4	2
1321	2	2	2
1325	2	3	2
1326	2	2	2
1329	2	2	2
1334	2	2	2
1336	2	5	2
1337	2	4	2
1338	2	2	2
1339	2	3	2
1340	2	2	2
1342	2	5	2
1344	2	2	2
1345	2	6	2
1346	2	5	2
1350	2	3	2
1352	2	2	2
1353	2	5	2
1354	2	2	2
1355	2	1	2
1358	2	3	2
1359	2	5	2
1361	2	4	2
1363	2	6	2
1366	2	4	2
1369	2	2	2
1370	2	3	2
1373	2	5	2
1374	2	2	2
1377	2	4	2
1378	2	5	2
1379	2	3	2
1380	2	1	2
1383	2	2	2
1386	2	5	2
1387	2	1	2
1389	2	3	2
1390	2	5	2
1392	2	5	2
1393	2	5	2
1394	2	1	2
1396	2	4	2
1397	2	4	2
1400	2	6	2
1402	2	3	2
